date,index
2015-12-28,58
2016-01-04,50
2016-01-11,101
2016-01-18,33
2016-01-25,57
2016-02-01,33
2016-02-08,41
2016-02-15,58
2016-02-22,26
2016-02-29,41
2016-03-07,41
2016-03-14,33
2016-03-21,41
2016-03-28,24
2016-04-04,25
2016-04-11,16
2016-04-18,33
2016-04-25,41
2016-05-02,24
2016-05-09,33
2016-05-16,49
2016-05-23,57
2016-05-30,8
2016-06-06,41
2016-06-13,25
2016-06-20,49
2016-06-27,24
2016-07-04,25
2016-07-11,16
2016-07-18,25
2016-07-25,42
2016-08-01,26
2016-08-08,33
2016-08-15,50
2016-08-22,33
2016-08-29,25
2016-09-05,24
2016-09-12,42
2016-09-19,33
2016-09-26,50
2016-10-03,49
2016-10-10,58
2016-10-17,67
2016-10-24,59
2016-10-31,57
2016-11-07,41
2016-11-14,66
2016-11-21,58
2016-11-28,75
2016-12-05,90
2016-12-12,75
2016-12-19,57
2016-12-26,41
2017-01-02,67
2017-01-09,41
2017-01-16,17
2017-01-23,16
2017-01-30,33
2017-02-06,24
2017-02-13,25
2017-02-20,25
2017-02-27,17
2017-03-06,8
2017-03-13,33
2017-03-20,58
2017-03-27,8
2017-04-03,42
2017-04-10,25
2017-04-17,33
2017-04-24,16
2017-05-01,17
2017-05-08,50
2017-05-15,25
2017-05-22,33
2017-05-29,57
2017-06-05,66
2017-06-12,50
2017-06-19,50
2017-06-26,66
2017-07-03,17
2017-07-10,50
2017-07-17,33
2017-07-24,34
2017-07-31,50
2017-08-07,50
2017-08-14,67
2017-08-21,17
2017-08-28,42
2017-09-04,33
2017-09-11,75
2017-09-18,42
2017-09-25,41
2017-10-02,50
2017-10-09,60
2017-10-16,58
2017-10-23,58
2017-10-30,84
2017-11-06,60
2017-11-13,59
2017-11-20,51
2017-11-27,66
2017-12-04,67
2017-12-11,66
2017-12-18,34
2017-12-25,42
2018-01-01,50
2018-01-08,33
2018-01-15,75
2018-01-22,75
2018-01-29,50
2018-02-05,50
2018-02-12,33
2018-02-19,42
2018-02-26,42
2018-03-05,76
2018-03-12,43
2018-03-19,57
2018-03-26,24
2018-04-02,69
2018-04-09,58
2018-04-16,50
2018-04-23,17
2018-04-30,51
2018-05-07,50
2018-05-14,67
2018-05-21,43
2018-05-28,75
2018-06-04,58
2018-06-11,67
2018-06-18,41
2018-06-25,34
2018-07-02,50
2018-07-09,41
2018-07-16,33
2018-07-23,50
2018-07-30,34
2018-08-06,41
2018-08-13,42
2018-08-20,8
2018-08-27,41
2018-09-03,67
2018-09-10,34
2018-09-17,75
2018-09-24,17
2018-10-01,58
2018-10-08,67
2018-10-15,59
2018-10-22,42
2018-10-29,84
2018-11-05,94
2018-11-12,75
2018-11-19,84
2018-11-26,74
2018-12-03,69
2018-12-10,69
2018-12-17,66
2018-12-24,51
2018-12-31,59
2019-01-07,67
2019-01-14,67
2019-01-21,50
2019-01-28,24
2019-02-04,67
2019-02-11,52
2019-02-18,50
2019-02-25,69
2019-03-04,53
2019-03-11,92
2019-03-18,74
2019-03-25,116
2019-04-01,134
2019-04-08,128
2019-04-15,123
2019-04-22,94
2019-04-29,111
2019-05-06,104
2019-05-13,95
2019-05-20,105
2019-05-27,105
2019-06-03,129
2019-06-10,116
2019-06-17,126
2019-06-24,98
2019-07-01,113
2019-07-08,112
2019-07-15,106
2019-07-22,107
2019-07-29,114
2019-08-05,131
2019-08-12,108
2019-08-19,142
2019-08-26,142
2019-09-02,129
2019-09-09,117
2019-09-16,125
2019-09-23,60
2019-09-30,116
2019-10-07,125
2019-10-14,137
2019-10-21,136
2019-10-28,137
2019-11-04,127
2019-11-11,141
2019-11-18,140
2019-11-25,187
2019-12-02,135
2019-12-09,141
2019-12-16,141
2019-12-23,141
2019-12-30,146
2020-01-06,145
2020-01-13,109
2020-01-20,94
2020-01-27,106
2020-02-03,123
2020-02-10,140
2020-02-17,196
2020-02-24,153
2020-03-02,150
2020-03-09,165
2020-03-16,212
2020-03-23,210
2020-03-30,202
2020-04-06,182
2020-04-13,195
2020-04-20,199
2020-04-27,233
2020-05-04,213
2020-05-11,204
2020-05-18,190
2020-05-25,236
2020-06-01,222
2020-06-08,203
2020-06-15,204
2020-06-22,207
2020-06-29,204
2020-07-06,203
2020-07-13,238
2020-07-20,214
2020-07-27,200
2020-08-03,191
2020-08-10,222
