date,index
2016-08-29,231
2016-09-05,240
2016-09-12,206
2016-09-19,201
2016-09-26,212
2016-10-03,205
2016-10-10,209
2016-10-17,195
2016-10-24,182
2016-10-31,195
2016-11-07,198
2016-11-14,192
2016-11-21,227
2016-11-28,206
2016-12-05,201
2016-12-12,205
2016-12-19,199
2016-12-26,206
2017-01-02,1420
2017-01-09,348
2017-01-16,206
2017-01-23,227
2017-01-30,218
2017-02-06,206
2017-02-13,249
2017-02-20,372
2017-03-06,258
2017-03-13,232
2017-03-20,233
2017-03-27,221
2017-04-03,228
2017-04-10,212
2017-04-17,215
2017-04-24,219
2017-05-01,246
2017-05-08,247
2017-05-15,282
2017-05-22,266
2017-05-29,258
2017-06-05,241
2017-06-12,276
2017-06-19,292
2017-06-26,279
2017-07-03,295
2017-07-10,323
2017-07-17,289
2017-07-24,266
2017-07-31,262
2017-08-07,262
2017-08-14,262
2017-08-21,252
2017-08-28,272
2017-09-04,261
2017-09-11,286
2017-09-18,298
2017-09-25,243
2017-10-02,267
2017-10-09,258
2017-10-16,258
2017-10-23,248
2017-10-30,236
2017-11-06,240
2017-11-13,232
2017-11-20,255
2017-11-27,236
2017-12-04,248
2017-12-11,256
2017-12-18,246
2017-12-25,241
2018-01-01,270
2018-01-08,356
2018-01-15,292
2018-01-22,349
2018-01-29,225
2018-02-05,227
2018-02-12,266
2018-02-19,263
2018-03-05,257
2018-03-12,244
2018-03-19,254
2018-03-26,236
2018-04-02,248
2018-04-09,243
2018-04-16,237
2018-04-23,246
2018-04-30,240
2018-05-07,255
2018-05-14,253
2018-05-21,247
2018-05-28,238
2018-06-04,269
2018-06-11,248
2018-06-18,266
2018-06-25,253
2018-07-02,277
2018-07-09,293
2018-07-16,282
2018-07-23,440
2018-07-30,358
2018-08-06,286
2018-08-13,271
2018-08-20,266
2018-08-27,267
2018-09-03,299
2018-09-10,304
2018-09-17,264
2018-09-24,226
2018-10-01,260
2018-10-08,239
2018-10-15,254
2018-10-22,260
2018-10-29,240
2018-11-05,263
2018-11-12,249
2018-11-19,277
2018-11-26,276
2018-12-03,244
2018-12-10,223
2018-12-17,241
2018-12-24,246
2018-12-31,241
2019-01-07,280
2019-01-14,281
2019-01-21,165
2019-01-28,223
2019-02-04,238
2019-02-11,251
2019-02-18,220
2019-03-04,236
2019-03-11,229
2019-03-18,230
2019-03-25,214
2019-04-01,230
2019-04-08,241
2019-04-15,232
2019-04-22,205
2019-04-29,248
2019-05-06,245
2019-05-13,236
2019-05-20,231
2019-05-27,236
2019-06-03,247
2019-06-10,325
2019-06-17,605
2019-06-24,285
2019-07-01,263
2019-07-08,259
2019-07-15,246
2019-07-22,236
2019-07-29,235
2019-08-05,231
2019-08-12,223
2019-08-19,270
2019-08-26,257
2019-09-02,246
2019-09-09,252
2019-09-16,282
2019-09-23,198
2019-09-30,231
2019-10-07,226
2019-10-14,211
2019-10-21,223
2019-10-28,207
2019-11-04,214
2019-11-11,209
2019-11-18,203
2019-11-25,198
2019-12-02,196
2019-12-09,221
2019-12-16,216
2019-12-23,215
2019-12-30,229
2020-01-06,206
2020-01-13,222
2020-01-20,211
2020-01-27,216
2020-02-03,209
2020-02-10,208
2020-02-17,210
2020-03-02,205
2020-03-09,208
2020-03-16,202
2020-03-23,205
2020-03-30,205
2020-04-06,199
2020-04-13,206
2020-04-20,210
2020-04-27,201
2020-05-04,213
2020-05-11,201
2020-05-18,203
2020-05-25,200
2020-06-01,188
2020-06-08,183
2020-06-15,181
2020-06-22,187
2020-06-29,183
2020-07-06,182
2020-07-13,189
2020-07-20,188
2020-07-27,188
2020-08-03,200
2020-08-10,231
2020-08-17,196
2020-08-24,178
2020-08-31,181
2020-09-07,188
2020-09-14,196
2020-09-21,182
2020-09-28,178
2020-10-05,202
2020-10-12,201
2020-10-19,191
2020-10-26,189
2020-11-02,207
2020-11-09,204
2020-11-16,219
2020-11-23,223
2020-11-30,201
2020-12-07,208
2020-12-14,181
2020-12-21,185
2020-12-28,194
2021-01-04,188
2021-01-11,189
2021-01-18,216
2021-01-25,197
2021-02-01,181
2021-02-08,192
2021-02-15,183
2021-02-22,181
2021-03-08,187
2021-03-15,210
2021-03-22,177
2021-03-29,170
2021-04-05,174
2021-04-12,166
2021-04-19,162
2021-04-26,167
2021-05-03,163
2021-05-10,166
2021-05-17,160
2021-05-24,159
2021-05-31,166
2021-06-07,161
2021-06-14,160
2021-06-21,175
2021-06-28,169
2021-07-05,177
2021-07-12,168
2021-07-19,165
2021-07-26,162
2021-08-02,168
2021-08-09,169
2021-08-16,174
2021-08-23,164
2021-08-30,181
2021-09-06,184
2021-09-13,186
2021-09-20,166
2021-09-27,171
2021-10-04,172
2021-10-11,183
2021-10-18,242
2021-10-25,173
2021-11-01,171
2021-11-08,181
2021-11-15,150
2021-11-22,171
2021-11-29,149
2021-12-06,182
2021-12-13,224
2021-12-20,178
2021-12-27,178
2022-01-03,182
2022-01-10,182
2022-01-17,154
2022-01-24,169
2022-01-31,222
2022-02-07,172
2022-02-14,175
2022-02-21,182
2022-03-07,188
2022-03-14,164
2022-03-21,165
2022-03-28,167
2022-04-04,187
2022-04-11,167
2022-04-18,214
2022-04-25,216
2022-05-02,215
2022-05-09,161
2022-05-16,166
2022-05-23,151
2022-05-30,160
2022-06-06,161
2022-06-13,157
2022-06-20,158
2022-06-27,163
2022-07-04,149
2022-07-11,165
2022-07-18,149
2022-07-25,160
2022-08-01,155
2022-08-08,163
2022-08-15,155
2022-08-22,160
2022-08-29,168
2022-09-05,167
2022-09-12,172
2022-09-19,150
2022-09-26,150
2022-10-03,151
2022-10-10,148
2022-10-17,147
2022-10-24,156
2022-10-31,157
2022-11-07,156
2022-11-14,155
2022-11-21,152
2022-11-28,150
2022-12-05,155
2022-12-12,171
2022-12-19,189
2022-12-26,338
2023-01-02,179
2023-01-09,146
2023-01-16,215
2023-01-23,260
2023-01-30,198
2023-02-06,204
2023-02-13,193
2023-02-20,174
2023-03-06,184
2023-03-13,213
2023-03-20,190
2023-03-27,173
2023-04-03,158
2023-04-10,160
2023-04-17,150
2023-04-24,159
2023-05-01,171
2023-05-08,158
2023-05-15,153
2023-05-22,154
2023-05-29,197
2023-06-05,215
2023-06-12,171
2023-06-19,228
2023-06-26,191
2023-07-03,174
2023-07-10,158
2023-07-17,216
2023-07-24,238
2023-07-31,187
2023-08-07,166
2023-08-14,175
2023-08-21,548
2023-08-28,191
2023-09-04,213
2023-09-11,175
2023-09-18,163
2023-09-25,147
2023-10-02,168
2023-10-09,163
2023-10-16,156
2023-10-23,142
2023-10-30,145
2023-11-06,149
2023-11-13,140
2023-11-20,135
2023-11-27,145
2023-12-04,146
2023-12-11,147
2023-12-18,197
2023-12-25,157
2024-01-01,148
2024-01-08,146
2024-01-15,146
2024-01-22,113
2024-01-29,104
2024-02-05,140
2024-02-12,142
2024-02-19,140
2024-03-04,132
2024-03-11,139
2024-03-18,126
2024-03-25,115
2024-04-01,134
2024-04-08,122
2024-04-15,133
2024-04-22,102
2024-04-29,131
2024-05-06,117
2024-05-13,135
2024-05-20,130
2024-05-27,122
2024-06-03,111
2024-06-10,130
2024-06-17,118
2024-06-24,129
2024-07-01,129
2024-07-08,125
2024-07-15,129
2024-07-22,119
2024-07-29,131
2024-08-05,121
2024-08-12,119
2024-08-19,128
2024-08-26,126
2024-09-02,101
2024-09-09,124
2024-09-16,131
2024-09-23,89
2024-09-30,108
2024-10-07,121
2024-10-14,128
2024-10-21,137
2024-10-28,122
2024-11-04,131
2024-11-11,119
2024-11-18,123
2024-11-25,109
2024-12-02,117
2024-12-09,103
2024-12-16,105
2024-12-23,119
2024-12-30,118
2025-01-06,114
2025-01-13,87
2025-01-20,103
2025-01-27,118
2025-02-03,125
2025-02-10,108
2025-02-17,97
2025-03-03,118
2025-03-10,113
2025-03-17,121
2025-03-24,98
2025-03-31,115
2025-04-07,120
2025-04-14,112
2025-04-21,105
2025-04-28,114
2025-05-05,113
2025-05-12,118
2025-05-19,108
2025-05-26,79
2025-06-02,104
2025-06-09,118
2025-06-16,96
2025-06-23,102
2025-06-30,107
2025-07-07,106
2025-07-14,115
2025-07-21,105
2025-07-28,113
2025-08-04,107
2025-08-11,101
