date,index
2016-08-29,8
2016-09-05,24
2016-09-12,16
2016-09-19,41
2016-09-26,24
2016-10-03,33
2016-10-10,58
2016-10-17,16
2016-10-24,17
2016-10-31,25
2016-11-07,16
2016-11-14,16
2016-11-21,58
2016-11-28,24
2016-12-05,17
2016-12-12,17
2016-12-19,24
2016-12-26,33
2017-01-02,0
2017-01-09,8
2017-01-16,24
2017-01-23,16
2017-01-30,16
2017-02-06,16
2017-02-13,18
2017-02-20,33
2017-03-06,25
2017-03-13,33
2017-03-20,16
2017-03-27,33
2017-04-03,16
2017-04-10,50
2017-04-17,16
2017-04-24,57
2017-05-01,33
2017-05-08,51
2017-05-15,49
2017-05-22,42
2017-05-29,50
2017-06-05,24
2017-06-12,33
2017-06-19,42
2017-06-26,33
2017-07-03,41
2017-07-10,41
2017-07-17,84
2017-07-24,66
2017-07-31,33
2017-08-07,50
2017-08-14,41
2017-08-21,50
2017-08-28,57
2017-09-04,49
2017-09-11,43
2017-09-18,24
2017-09-25,75
2017-10-02,57
2017-10-09,41
2017-10-16,67
2017-10-23,74
2017-10-30,75
2017-11-06,59
2017-11-13,50
2017-11-20,41
2017-11-27,58
2017-12-04,25
2017-12-11,42
2017-12-18,33
2017-12-25,50
2018-01-01,33
2018-01-08,57
2018-01-15,57
2018-01-22,34
2018-01-29,41
2018-02-05,42
2018-02-12,58
2018-02-19,33
2018-03-05,50
2018-03-12,41
2018-03-19,66
2018-03-26,75
2018-04-02,50
2018-04-09,24
2018-04-16,57
2018-04-23,50
2018-04-30,66
2018-05-07,33
2018-05-14,41
2018-05-21,42
2018-05-28,33
2018-06-04,16
2018-06-11,50
2018-06-18,33
2018-06-25,59
2018-07-02,51
2018-07-09,50
2018-07-16,58
2018-07-23,75
2018-07-30,41
2018-08-06,42
2018-08-13,99
2018-08-20,92
2018-08-27,50
2018-09-03,74
2018-09-10,66
2018-09-17,66
2018-09-24,60
2018-10-01,58
2018-10-08,49
2018-10-15,83
2018-10-22,41
2018-10-29,33
2018-11-05,58
2018-11-12,51
2018-11-19,33
2018-11-26,50
2018-12-03,75
2018-12-10,66
2018-12-17,68
2018-12-24,70
2018-12-31,66
2019-01-07,68
2019-01-14,59
2019-01-21,42
2019-01-28,58
2019-02-04,68
2019-02-11,42
2019-02-18,68
2019-03-04,41
2019-03-11,58
2019-03-18,41
2019-03-25,57
2019-04-01,25
2019-04-08,75
2019-04-15,91
2019-04-22,69
2019-04-29,68
2019-05-06,53
2019-05-13,77
2019-05-20,70
2019-05-27,93
2019-06-03,68
2019-06-10,85
2019-06-17,61
2019-06-24,101
2019-07-01,67
2019-07-08,75
2019-07-15,58
2019-07-22,58
2019-07-29,83
2019-08-05,75
2019-08-12,59
2019-08-19,77
2019-08-26,68
2019-09-02,94
2019-09-09,84
2019-09-16,66
2019-09-23,50
2019-09-30,41
2019-10-07,50
2019-10-14,49
2019-10-21,67
2019-10-28,25
2019-11-04,24
2019-11-11,74
2019-11-18,59
2019-11-25,42
2019-12-02,41
2019-12-09,50
2019-12-16,33
2019-12-23,59
2019-12-30,57
2020-01-06,50
2020-01-13,50
2020-01-20,83
2020-01-27,34
2020-02-03,33
2020-02-10,42
2020-02-17,57
2020-03-02,50
2020-03-09,66
2020-03-16,50
2020-03-23,60
2020-03-30,76
2020-04-06,101
2020-04-13,77
2020-04-20,44
2020-04-27,81
2020-05-04,76
2020-05-11,74
2020-05-18,66
2020-05-25,33
2020-06-01,68
2020-06-08,78
2020-06-15,96
2020-06-22,79
2020-06-29,91
2020-07-06,129
2020-07-13,130
2020-07-20,127
2020-07-27,91
2020-08-03,117
2020-08-10,121
2020-08-17,119
2020-08-24,119
2020-08-31,114
2020-09-07,124
2020-09-14,117
2020-09-21,71
2020-09-28,62
2020-10-05,77
2020-10-12,68
2020-10-19,87
2020-10-26,93
2020-11-02,89
2020-11-09,122
2020-11-16,103
2020-11-23,98
2020-11-30,106
2020-12-07,118
2020-12-14,123
2020-12-21,129
2020-12-28,119
2021-01-04,120
2021-01-11,108
2021-01-18,127
2021-01-25,115
2021-02-01,90
2021-02-08,114
2021-02-15,123
2021-02-22,92
2021-03-08,109
2021-03-15,114
2021-03-22,104
2021-03-29,110
2021-04-05,83
2021-04-12,124
2021-04-19,107
2021-04-26,108
2021-05-03,112
2021-05-10,97
2021-05-17,97
2021-05-24,95
2021-05-31,99
2021-06-07,106
2021-06-14,110
2021-06-21,113
2021-06-28,96
2021-07-05,116
2021-07-12,111
2021-07-19,98
2021-07-26,98
2021-08-02,117
2021-08-09,113
2021-08-16,124
2021-08-23,107
2021-08-30,121
2021-09-06,124
2021-09-13,127
2021-09-20,135
2021-09-27,140
