date,index
2016-08-29,49
2016-09-05,75
2016-09-12,50
2016-09-19,41
2016-09-26,49
2016-10-03,25
2016-10-10,50
2016-10-17,41
2016-10-24,33
2016-10-31,42
2016-11-07,41
2016-11-14,41
2016-11-21,41
2016-11-28,16
2016-12-05,33
2016-12-12,41
2016-12-19,74
2016-12-26,33
2017-01-02,41
2017-01-09,33
2017-01-16,8
2017-01-23,41
2017-01-30,42
2017-02-06,57
2017-02-13,25
2017-02-20,33
2017-03-06,58
2017-03-13,33
2017-03-20,57
2017-03-27,41
2017-04-03,24
2017-04-10,49
2017-04-17,49
2017-04-24,41
2017-05-01,51
2017-05-08,33
2017-05-15,8
2017-05-22,34
2017-05-29,67
2017-06-05,24
2017-06-12,58
2017-06-19,58
2017-06-26,25
2017-07-03,85
2017-07-10,75
2017-07-17,68
2017-07-24,79
2017-07-31,75
2017-08-07,91
2017-08-14,107
2017-08-21,77
2017-08-28,59
2017-09-04,58
2017-09-11,97
2017-09-18,124
2017-09-25,93
2017-10-02,101
2017-10-09,76
2017-10-16,76
2017-10-23,111
2017-10-30,76
2017-11-06,77
2017-11-13,52
2017-11-20,77
2017-11-27,93
2017-12-04,51
2017-12-11,74
2017-12-18,86
2017-12-25,75
2018-01-01,50
2018-01-08,75
2018-01-15,68
2018-01-22,59
2018-01-29,25
2018-02-05,42
2018-02-12,58
2018-02-19,100
2018-03-05,75
2018-03-12,85
2018-03-19,104
2018-03-26,58
2018-04-02,66
2018-04-09,75
2018-04-16,58
2018-04-23,83
2018-04-30,84
2018-05-07,83
2018-05-14,61
2018-05-21,93
2018-05-28,50
2018-06-04,67
2018-06-11,58
2018-06-18,43
2018-06-25,66
2018-07-02,66
2018-07-09,77
2018-07-16,75
2018-07-23,76
2018-07-30,106
2018-08-06,97
2018-08-13,66
2018-08-20,51
2018-08-27,85
2018-09-03,93
2018-09-10,59
2018-09-17,67
2018-09-24,51
2018-10-01,59
2018-10-08,59
2018-10-15,66
2018-10-22,66
2018-10-29,50
2018-11-05,50
2018-11-12,25
2018-11-19,66
2018-11-26,42
2018-12-03,59
2018-12-10,82
2018-12-17,50
2018-12-24,41
2018-12-31,50
2019-01-07,33
2019-01-14,33
2019-01-21,16
2019-01-28,66
2019-02-04,25
2019-02-11,33
2019-02-18,42
2019-03-04,69
2019-03-11,50
2019-03-18,41
2019-03-25,8
2019-04-01,71
2019-04-08,67
2019-04-15,58
2019-04-22,58
2019-04-29,43
2019-05-06,77
2019-05-13,84
2019-05-20,93
2019-05-27,93
2019-06-03,61
2019-06-10,90
2019-06-17,76
2019-06-24,59
2019-07-01,50
2019-07-08,58
2019-07-15,86
2019-07-22,75
2019-07-29,90
2019-08-05,75
2019-08-12,104
2019-08-19,252
2019-08-26,147
2019-09-02,117
2019-09-09,104
2019-09-16,92
2019-09-23,67
2019-09-30,66
2019-10-07,50
2019-10-14,85
2019-10-21,75
2019-10-28,57
2019-11-04,100
2019-11-11,83
2019-11-18,59
2019-11-25,75
2019-12-02,49
2019-12-09,42
2019-12-16,75
2019-12-23,67
2019-12-30,25
2020-01-06,33
2020-01-13,33
2020-01-20,66
2020-01-27,16
2020-02-03,50
2020-02-10,74
2020-02-17,58
2020-03-02,74
2020-03-09,51
2020-03-16,57
2020-03-23,34
2020-03-30,24
2020-04-06,42
2020-04-13,25
2020-04-20,16
2020-04-27,16
2020-05-04,16
2020-05-11,25
2020-05-18,24
2020-05-25,33
2020-06-01,33
2020-06-08,16
2020-06-15,33
2020-06-22,16
2020-06-29,25
2020-07-06,16
2020-07-13,8
2020-07-20,17
2020-07-27,0
2020-08-03,50
2020-08-10,33
2020-08-17,57
2020-08-24,33
2020-08-31,0
2020-09-07,16
2020-09-14,16
2020-09-21,33
2020-09-28,25
2020-10-05,25
2020-10-12,24
2020-10-19,41
2020-10-26,57
2020-11-02,59
2020-11-09,24
2020-11-16,24
2020-11-23,41
2020-11-30,16
2020-12-07,49
2020-12-14,33
2020-12-21,41
2020-12-28,17
2021-01-04,41
2021-01-11,33
2021-01-18,33
2021-01-25,16
2021-02-01,16
2021-02-08,25
2021-02-15,25
2021-02-22,16
2021-03-08,58
2021-03-15,49
2021-03-22,24
2021-03-29,33
2021-04-05,33
2021-04-12,50
2021-04-19,16
2021-04-26,25
2021-05-03,24
2021-05-10,17
2021-05-17,8
2021-05-24,33
2021-05-31,25
2021-06-07,8
2021-06-14,41
2021-06-21,24
2021-06-28,50
2021-07-05,33
2021-07-12,8
2021-07-19,17
2021-07-26,25
2021-08-02,66
2021-08-09,0
2021-08-16,49
2021-08-23,8
2021-08-30,17
2021-09-06,8
2021-09-13,25
2021-09-20,42
2021-09-27,17
2021-10-04,24
2021-10-11,8
2021-10-18,56
2021-10-25,25
2021-11-01,34
2021-11-08,49
2021-11-15,25
2021-11-22,34
2021-11-29,50
2021-12-06,33
2021-12-13,41
2021-12-20,8
2021-12-27,16
2022-01-03,16
2022-01-10,33
2022-01-17,8
2022-01-24,50
2022-01-31,17
2022-02-07,8
2022-02-14,16
2022-02-21,8
2022-03-07,33
2022-03-14,25
2022-03-21,16
2022-03-28,50
2022-04-04,33
2022-04-11,16
2022-04-18,16
2022-04-25,33
2022-05-02,16
2022-05-09,8
2022-05-16,41
2022-05-23,25
2022-05-30,33
2022-06-06,24
2022-06-13,33
2022-06-20,24
2022-06-27,41
2022-07-04,25
2022-07-11,16
2022-07-18,16
2022-07-25,33
2022-08-01,25
2022-08-08,33
2022-08-15,24
2022-08-22,25
2022-08-29,16
2022-09-05,33
2022-09-12,57
2022-09-19,25
2022-09-26,8
2022-10-03,16
2022-10-10,8
2022-10-17,41
2022-10-24,33
2022-10-31,41
2022-11-07,16
2022-11-14,24
2022-11-21,33
2022-11-28,16
2022-12-05,16
2022-12-12,33
2022-12-19,25
2022-12-26,16
2023-01-02,26
2023-01-09,8
2023-01-16,58
2023-01-23,49
2023-01-30,41
2023-02-06,8
2023-02-13,33
2023-02-20,41
2023-03-06,25
2023-03-13,0
2023-03-20,24
2023-03-27,33
2023-04-03,17
2023-04-10,9
2023-04-17,25
2023-04-24,25
2023-05-01,16
2023-05-08,33
2023-05-15,25
2023-05-22,16
2023-05-29,24
2023-06-05,16
2023-06-12,16
2023-06-19,8
2023-06-26,25
2023-07-03,24
2023-07-10,8
2023-07-17,25
2023-07-24,41
2023-07-31,16
2023-08-07,25
2023-08-14,16
2023-08-21,25
2023-08-28,16
2023-09-04,8
2023-09-11,41
2023-09-18,16
2023-09-25,33
2023-10-02,25
2023-10-09,8
2023-10-16,17
2023-10-23,33
2023-10-30,25
2023-11-06,33
2023-11-13,34
2023-11-20,16
2023-11-27,25
2023-12-04,0
2023-12-11,33
2023-12-18,8
2023-12-25,17
2024-01-01,33
2024-01-08,41
2024-01-15,49
2024-01-22,16
2024-01-29,25
2024-02-05,25
2024-02-12,25
2024-02-19,58
2024-03-04,50
2024-03-11,42
2024-03-18,25
2024-03-25,33
2024-04-01,17
2024-04-08,16
2024-04-15,33
2024-04-22,33
2024-04-29,25
2024-05-06,41
2024-05-13,41
2024-05-20,59
2024-05-27,66
2024-06-03,50
2024-06-10,0
2024-06-17,16
2024-06-24,41
2024-07-01,24
2024-07-08,16
2024-07-15,16
2024-07-22,8
2024-07-29,17
2024-08-05,8
2024-08-12,0
2024-08-19,24
2024-08-26,17
2024-09-02,16
2024-09-09,16
2024-09-16,16
2024-09-23,0
2024-09-30,16
2024-10-07,24
2024-10-14,16
2024-10-21,8
2024-10-28,8
2024-11-04,0
2024-11-11,0
2024-11-18,24
2024-11-25,41
2024-12-02,0
2024-12-09,8
2024-12-16,16
2024-12-23,8
2024-12-30,24
2025-01-06,0
2025-01-13,8
2025-01-20,33
2025-01-27,9
2025-02-03,16
2025-02-10,0
2025-02-17,25
2025-03-03,25
2025-03-10,0
2025-03-17,0
2025-03-24,8
2025-03-31,0
2025-04-07,8
2025-04-14,16
2025-04-21,8
2025-04-28,16
2025-05-05,16
2025-05-12,0
2025-05-19,0
2025-05-26,0
2025-06-02,24
2025-06-09,8
2025-06-16,8
2025-06-23,0
2025-06-30,0
2025-07-07,24
2025-07-14,8
2025-07-21,17
2025-07-28,16
2025-08-04,0
2025-08-11,33
