date,index
2016-08-29,0
2016-09-05,0
2016-09-12,0
2016-09-19,0
2016-09-26,0
2016-10-03,0
2016-10-10,0
2016-10-17,0
2016-10-24,0
2016-10-31,0
2016-11-07,0
2016-11-14,0
2016-11-21,0
2016-11-28,0
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,0
2017-01-02,0
2017-01-09,0
2017-01-16,0
2017-01-23,0
2017-01-30,0
2017-02-06,0
2017-02-13,26
2017-02-20,16
2017-03-06,8
2017-03-13,41
2017-03-20,17
2017-03-27,16
2017-04-03,33
2017-04-10,25
2017-04-17,33
2017-04-24,8
2017-05-01,24
2017-05-08,16
2017-05-15,24
2017-05-22,24
2017-05-29,25
2017-06-05,61
2017-06-12,24
2017-06-19,16
2017-06-26,0
2017-07-03,0
2017-07-10,8
2017-07-17,0
2017-07-24,0
2017-07-31,8
2017-08-07,8
2017-08-14,9
2017-08-21,0
2017-08-28,10
2017-09-04,8
2017-09-11,16
2017-09-18,16
2017-09-25,41
2017-10-02,57
2017-10-09,58
2017-10-16,57
2017-10-23,76
2017-10-30,75
2017-11-06,17
2017-11-13,16
2017-11-20,41
2017-11-27,43
2017-12-04,75
2017-12-11,8
2017-12-18,8
2017-12-25,8
2018-01-01,16
2018-01-08,33
2018-01-15,16
2018-01-22,17
2018-01-29,0
2018-02-05,8
2018-02-12,25
2018-02-19,8
2018-03-05,8
2018-03-12,16
2018-03-19,25
2018-03-26,24
2018-04-02,33
2018-04-09,41
2018-04-16,42
2018-04-23,8
2018-04-30,17
2018-05-07,58
2018-05-14,16
2018-05-21,25
2018-05-28,49
2018-06-04,42
2018-06-11,50
2018-06-18,34
2018-06-25,33
2018-07-02,8
2018-07-09,8
2018-07-16,16
2018-07-23,41
2018-07-30,58
2018-08-06,58
2018-08-13,17
2018-08-20,50
2018-08-27,17
2018-09-03,49
2018-09-10,34
2018-09-17,33
2018-09-24,8
2018-10-01,58
2018-10-08,16
2018-10-15,83
2018-10-22,82
2018-10-29,42
2018-11-05,42
2018-11-12,25
2018-11-19,33
2018-11-26,25
2018-12-03,16
2018-12-10,74
2018-12-17,33
2018-12-24,16
2018-12-31,42
2019-01-07,25
2019-01-14,17
2019-01-21,0
2019-01-28,36
2019-02-04,25
2019-02-11,33
2019-02-18,75
2019-03-04,33
2019-03-11,49
2019-03-18,25
2019-03-25,18
2019-04-01,41
2019-04-08,50
2019-04-15,42
2019-04-22,58
2019-04-29,8
2019-05-06,33
2019-05-13,67
2019-05-20,75
2019-05-27,76
2019-06-03,135
2019-06-10,112
2019-06-17,76
2019-06-24,58
2019-07-01,68
2019-07-08,85
2019-07-15,59
2019-07-22,83
2019-07-29,66
2019-08-05,83
2019-08-12,68
2019-08-19,86
2019-08-26,75
2019-09-02,41
2019-09-09,91
2019-09-16,83
2019-09-23,25
2019-09-30,65
2019-10-07,82
2019-10-14,51
2019-10-21,75
2019-10-28,60
2019-11-04,68
2019-11-11,58
2019-11-18,42
2019-11-25,43
2019-12-02,51
2019-12-09,67
2019-12-16,25
2019-12-23,42
2019-12-30,0
2020-01-06,41
2020-01-13,0
2020-01-20,33
2020-01-27,65
2020-02-03,41
2020-02-10,49
2020-02-17,67
2020-03-02,59
2020-03-09,33
2020-03-16,66
2020-03-23,34
2020-03-30,84
2020-04-06,50
2020-04-13,68
2020-04-20,25
2020-04-27,33
2020-05-04,49
2020-05-11,50
2020-05-18,50
2020-05-25,99
2020-06-01,33
2020-06-08,50
2020-06-15,17
2020-06-22,25
2020-06-29,83
2020-07-06,58
2020-07-13,25
2020-07-20,25
2020-07-27,34
