date,index
2016-08-29,33
2016-09-05,57
2016-09-12,41
2016-09-19,59
2016-09-26,60
2016-10-03,25
2016-10-10,51
2016-10-17,34
2016-10-24,42
2016-10-31,24
2016-11-07,9
2016-11-14,33
2016-11-21,8
2016-11-28,16
2016-12-05,41
2016-12-12,24
2016-12-19,8
2016-12-26,17
2017-01-02,42
2017-01-09,41
2017-01-16,33
2017-01-23,42
2017-01-30,33
2017-02-06,34
2017-02-13,8
2017-02-20,8
2017-03-06,0
2017-03-13,17
2017-03-20,8
2017-03-27,8
2017-04-03,8
2017-04-10,0
2017-04-17,8
2017-04-24,8
2017-05-01,0
2017-05-08,0
2017-05-15,0
2017-05-22,16
2017-05-29,24
2017-06-05,8
2017-06-12,8
2017-06-19,24
2017-06-26,24
2017-07-03,8
2017-07-10,8
2017-07-17,24
2017-07-24,0
2017-07-31,0
2017-08-07,16
2017-08-14,24
2017-08-21,16
2017-08-28,8
2017-09-04,24
2017-09-11,8
2017-09-18,8
2017-09-25,0
2017-10-02,33
2017-10-09,24
2017-10-16,24
2017-10-23,16
2017-10-30,8
2017-11-06,33
2017-11-13,8
2017-11-20,8
2017-11-27,0
2017-12-04,17
2017-12-11,17
2017-12-18,9
2017-12-25,8
2018-01-01,24
2018-01-08,8
2018-01-15,25
2018-01-22,16
2018-01-29,16
2018-02-05,8
2018-02-12,33
2018-02-19,41
2018-03-05,33
2018-03-12,25
2018-03-19,25
2018-03-26,16
2018-04-02,59
2018-04-09,86
2018-04-16,92
2018-04-23,75
2018-04-30,82
2018-05-07,83
2018-05-14,123
2018-05-21,141
2018-05-28,105
2018-06-04,98
2018-06-11,109
2018-06-18,101
2018-06-25,110
2018-07-02,57
2018-07-09,86
2018-07-16,118
2018-07-23,92
2018-07-30,79
2018-08-06,78
2018-08-13,95
2018-08-20,89
2018-08-27,89
2018-09-03,72
2018-09-10,87
2018-09-17,85
2018-09-24,72
2018-10-01,69
2018-10-08,88
2018-10-15,97
2018-10-22,102
2018-10-29,78
2018-11-05,86
2018-11-12,88
2018-11-19,87
2018-11-26,59
2018-12-03,50
2018-12-10,67
2018-12-17,62
2018-12-24,60
2018-12-31,77
2019-01-07,89
2019-01-14,51
2019-01-21,25
2019-01-28,58
2019-02-04,46
2019-02-11,61
2019-02-18,82
2019-03-04,26
2019-03-11,76
2019-03-18,67
2019-03-25,74
2019-04-01,67
2019-04-08,74
2019-04-15,42
2019-04-22,69
2019-04-29,70
2019-05-06,86
2019-05-13,83
2019-05-20,59
2019-05-27,53
2019-06-03,61
2019-06-10,61
2019-06-17,67
2019-06-24,74
2019-07-01,60
2019-07-08,59
2019-07-15,51
2019-07-22,42
2019-07-29,57
2019-08-05,52
2019-08-12,82
2019-08-19,89
2019-08-26,85
2019-09-02,60
