date,index
2016-08-29,109
2016-09-05,89
2016-09-12,93
2016-09-19,68
2016-09-26,61
2016-10-03,59
2016-10-10,86
2016-10-17,95
2016-10-24,85
2016-10-31,102
2016-11-07,110
2016-11-14,49
2016-11-21,102
2016-11-28,101
2016-12-05,93
2016-12-12,108
2016-12-19,104
2016-12-26,102
2017-01-02,104
2017-01-09,58
2017-01-16,66
2017-01-23,103
2017-01-30,77
2017-02-06,93
2017-02-13,97
2017-02-20,86
2017-03-06,101
2017-03-13,74
2017-03-20,85
2017-03-27,95
2017-04-03,101
2017-04-10,109
2017-04-17,76
2017-04-24,93
2017-05-01,77
2017-05-08,99
2017-05-15,92
2017-05-22,84
2017-05-29,119
2017-06-05,110
2017-06-12,103
2017-06-19,109
2017-06-26,77
2017-07-03,123
2017-07-10,120
2017-07-17,103
2017-07-24,139
2017-07-31,114
2017-08-07,120
2017-08-14,105
2017-08-21,110
2017-08-28,103
2017-09-04,121
2017-09-11,136
2017-09-18,126
2017-09-25,122
2017-10-02,118
2017-10-09,129
2017-10-16,121
2017-10-23,127
2017-10-30,125
2017-11-06,128
2017-11-13,122
2017-11-20,106
2017-11-27,113
2017-12-04,85
2017-12-11,100
2017-12-18,126
2017-12-25,96
2018-01-01,94
2018-01-08,115
2018-01-15,111
2018-01-22,110
2018-01-29,66
2018-02-05,102
2018-02-12,111
2018-02-19,110
2018-03-05,121
2018-03-12,109
2018-03-19,121
2018-03-26,94
2018-04-02,111
2018-04-09,119
2018-04-16,103
2018-04-23,96
2018-04-30,88
2018-05-07,113
2018-05-14,114
2018-05-21,103
2018-05-28,122
2018-06-04,104
2018-06-11,98
2018-06-18,98
2018-06-25,96
2018-07-02,123
2018-07-09,111
2018-07-16,105
2018-07-23,125
2018-07-30,128
2018-08-06,129
2018-08-13,115
2018-08-20,99
2018-08-27,115
2018-09-03,121
2018-09-10,88
2018-09-17,111
2018-09-24,94
2018-10-01,80
2018-10-08,112
2018-10-15,112
2018-10-22,103
2018-10-29,101
2018-11-05,86
2018-11-12,110
2018-11-19,110
2018-11-26,103
2018-12-03,66
2018-12-10,95
2018-12-17,84
2018-12-24,75
2018-12-31,93
2019-01-07,111
2019-01-14,101
2019-01-21,58
2019-01-28,101
2019-02-04,93
2019-02-11,75
2019-02-18,121
2019-03-04,84
2019-03-11,112
2019-03-18,88
2019-03-25,110
2019-04-01,115
2019-04-08,123
2019-04-15,103
2019-04-22,105
2019-04-29,115
2019-05-06,107
2019-05-13,124
2019-05-20,119
2019-05-27,130
2019-06-03,120
2019-06-10,125
2019-06-17,125
2019-06-24,123
2019-07-01,104
2019-07-08,112
2019-07-15,113
2019-07-22,121
2019-07-29,116
2019-08-05,102
2019-08-12,128
2019-08-19,341
2019-08-26,177
2019-09-02,143
2019-09-09,155
2019-09-16,132
2019-09-23,114
2019-09-30,126
2019-10-07,126
2019-10-14,121
2019-10-21,115
2019-10-28,102
2019-11-04,114
2019-11-11,102
2019-11-18,104
2019-11-25,112
2019-12-02,94
2019-12-09,105
2019-12-16,75
2019-12-23,67
2019-12-30,66
2020-01-06,74
2020-01-13,24
2020-01-20,59
2020-01-27,82
2020-02-03,92
2020-02-10,102
2020-02-17,94
2020-03-02,93
2020-03-09,110
2020-03-16,93
2020-03-23,75
2020-03-30,60
2020-04-06,69
2020-04-13,67
2020-04-20,60
2020-04-27,75
2020-05-04,50
2020-05-11,26
2020-05-18,41
2020-05-25,42
2020-06-01,49
2020-06-08,25
2020-06-15,67
2020-06-22,33
2020-06-29,41
2020-07-06,41
2020-07-13,16
2020-07-20,33
2020-07-27,58
2020-08-03,67
2020-08-10,58
2020-08-17,58
2020-08-24,75
2020-08-31,58
2020-09-07,41
2020-09-14,75
2020-09-21,59
2020-09-28,50
2020-10-05,49
2020-10-12,67
2020-10-19,50
2020-10-26,101
2020-11-02,84
2020-11-09,75
2020-11-16,75
2020-11-23,75
2020-11-30,59
2020-12-07,100
2020-12-14,76
2020-12-21,66
2020-12-28,34
2021-01-04,91
2021-01-11,50
2021-01-18,58
2021-01-25,41
2021-02-01,58
2021-02-08,66
2021-02-15,66
2021-02-22,100
2021-03-08,92
2021-03-15,84
2021-03-22,60
2021-03-29,58
2021-04-05,76
2021-04-12,92
2021-04-19,66
2021-04-26,68
2021-05-03,76
2021-05-10,49
2021-05-17,85
2021-05-24,84
2021-05-31,42
2021-06-07,42
2021-06-14,50
2021-06-21,58
2021-06-28,41
2021-07-05,50
2021-07-12,85
2021-07-19,25
2021-07-26,41
2021-08-02,67
2021-08-09,33
2021-08-16,33
2021-08-23,50
2021-08-30,33
2021-09-06,66
2021-09-13,74
2021-09-20,58
2021-09-27,33
2021-10-04,58
2021-10-11,25
2021-10-18,103
2021-10-25,58
2021-11-01,82
2021-11-08,66
2021-11-15,49
2021-11-22,67
2021-11-29,58
2021-12-06,41
2021-12-13,50
2021-12-20,25
2021-12-27,67
2022-01-03,25
2022-01-10,33
2022-01-17,25
2022-01-24,66
2022-01-31,58
2022-02-07,58
2022-02-14,49
2022-02-21,65
2022-03-07,42
2022-03-14,70
2022-03-21,42
2022-03-28,69
2022-04-04,50
2022-04-11,42
2022-04-18,58
2022-04-25,41
2022-05-02,75
2022-05-09,41
2022-05-16,44
2022-05-23,51
2022-05-30,91
2022-06-06,85
2022-06-13,42
2022-06-20,59
2022-06-27,33
2022-07-04,49
2022-07-11,33
2022-07-18,66
2022-07-25,42
2022-08-01,84
2022-08-08,42
2022-08-15,49
2022-08-22,57
2022-08-29,25
2022-09-05,33
2022-09-12,68
2022-09-19,26
2022-09-26,57
2022-10-03,59
2022-10-10,50
2022-10-17,41
2022-10-24,66
2022-10-31,49
2022-11-07,41
2022-11-14,49
2022-11-21,25
2022-11-28,75
2022-12-05,17
2022-12-12,33
2022-12-19,51
2022-12-26,75
2023-01-02,16
2023-01-09,16
2023-01-16,41
2023-01-23,67
2023-01-30,33
2023-02-06,41
2023-02-13,68
2023-02-20,41
2023-03-06,41
2023-03-13,33
2023-03-20,66
2023-03-27,65
2023-04-03,74
2023-04-10,66
2023-04-17,50
2023-04-24,50
2023-05-01,66
2023-05-08,58
2023-05-15,58
2023-05-22,49
2023-05-29,58
2023-06-05,17
2023-06-12,25
2023-06-19,49
2023-06-26,66
2023-07-03,25
2023-07-10,34
2023-07-17,74
2023-07-24,49
2023-07-31,41
2023-08-07,66
2023-08-14,57
2023-08-21,69
2023-08-28,66
2023-09-04,41
2023-09-11,41
2023-09-18,41
2023-09-25,16
2023-10-02,16
2023-10-09,58
2023-10-16,49
2023-10-23,25
2023-10-30,24
2023-11-06,49
2023-11-13,70
2023-11-20,66
2023-11-27,66
2023-12-04,49
2023-12-11,50
2023-12-18,33
2023-12-25,69
2024-01-01,67
2024-01-08,67
2024-01-15,58
2024-01-22,50
2024-01-29,58
2024-02-05,58
2024-02-12,50
2024-02-19,77
2024-03-04,75
2024-03-11,74
2024-03-18,57
2024-03-25,49
2024-04-01,93
2024-04-08,58
2024-04-15,41
2024-04-22,34
2024-04-29,84
2024-05-06,41
2024-05-13,66
2024-05-20,42
2024-05-27,50
2024-06-03,16
2024-06-10,41
2024-06-17,41
2024-06-24,25
2024-07-01,25
2024-07-08,33
2024-07-15,58
2024-07-22,49
2024-07-29,42
2024-08-05,41
2024-08-12,42
2024-08-19,50
2024-08-26,57
2024-09-02,24
2024-09-09,33
2024-09-16,49
2024-09-23,33
2024-09-30,33
2024-10-07,41
2024-10-14,49
2024-10-21,58
2024-10-28,58
2024-11-04,50
2024-11-11,57
2024-11-18,33
2024-11-25,50
2024-12-02,42
2024-12-09,90
2024-12-16,41
2024-12-23,0
2024-12-30,41
2025-01-06,33
2025-01-13,16
2025-01-20,58
2025-01-27,33
2025-02-03,41
2025-02-10,58
2025-02-17,41
2025-03-03,41
2025-03-10,33
2025-03-17,50
2025-03-24,17
2025-03-31,33
2025-04-07,16
2025-04-14,25
2025-04-21,17
2025-04-28,16
2025-05-05,33
2025-05-12,16
2025-05-19,33
2025-05-26,8
2025-06-02,0
2025-06-09,57
2025-06-16,17
2025-06-23,33
2025-06-30,16
2025-07-07,17
2025-07-14,25
2025-07-21,24
2025-07-28,25
2025-08-04,17
2025-08-11,8
