date,index
2016-08-29,144
2016-09-05,140
2016-09-12,150
2016-09-19,136
2016-09-26,148
2016-10-03,149
2016-10-10,140
2016-10-17,146
2016-10-24,121
2016-10-31,134
2016-11-07,143
2016-11-14,142
2016-11-21,146
2016-11-28,133
2016-12-05,127
2016-12-12,142
2016-12-19,145
2016-12-26,144
2017-01-02,141
2017-01-09,143
2017-01-16,141
2017-01-23,156
2017-01-30,166
2017-02-06,154
2017-02-13,167
2017-02-20,171
2017-03-06,157
2017-03-13,164
2017-03-20,147
2017-03-27,151
2017-04-03,141
2017-04-10,150
2017-04-17,138
2017-04-24,137
2017-05-01,151
2017-05-08,145
2017-05-15,144
2017-05-22,138
2017-05-29,151
2017-06-05,192
2017-06-12,227
2017-06-19,153
2017-06-26,155
2017-07-03,160
2017-07-10,148
2017-07-17,142
2017-07-24,142
2017-07-31,131
2017-08-07,132
2017-08-14,151
2017-08-21,146
2017-08-28,149
2017-09-04,140
2017-09-11,141
2017-09-18,131
2017-09-25,153
2017-10-02,143
2017-10-09,131
2017-10-16,137
2017-10-23,143
2017-10-30,137
2017-11-06,162
2017-11-13,154
2017-11-20,149
2017-11-27,154
2017-12-04,151
2017-12-11,142
2017-12-18,148
2017-12-25,143
2018-01-01,151
2018-01-08,144
2018-01-15,147
2018-01-22,143
2018-01-29,135
2018-02-05,133
2018-02-12,143
2018-02-19,136
2018-03-05,148
2018-03-12,141
2018-03-19,145
2018-03-26,130
2018-04-02,148
2018-04-09,143
2018-04-16,141
2018-04-23,140
2018-04-30,141
2018-05-07,132
2018-05-14,116
2018-05-21,140
2018-05-28,134
2018-06-04,139
2018-06-11,136
2018-06-18,125
2018-06-25,118
2018-07-02,125
2018-07-09,129
2018-07-16,131
2018-07-23,136
2018-07-30,138
2018-08-06,137
2018-08-13,138
2018-08-20,127
2018-08-27,148
2018-09-03,149
2018-09-10,143
2018-09-17,138
2018-09-24,124
2018-10-01,136
2018-10-08,124
2018-10-15,129
2018-10-22,139
2018-10-29,134
2018-11-05,129
2018-11-12,117
2018-11-19,123
2018-11-26,143
2018-12-03,140
2018-12-10,129
2018-12-17,133
2018-12-24,126
2018-12-31,118
2019-01-07,133
2019-01-14,102
