date,index
2016-08-29,74
2016-09-05,68
2016-09-12,33
2016-09-19,58
2016-09-26,50
2016-10-03,83
2016-10-10,41
2016-10-17,58
2016-10-24,58
2016-10-31,41
2016-11-07,50
2016-11-14,49
2016-11-21,58
2016-11-28,58
2016-12-05,49
2016-12-12,68
2016-12-19,66
2016-12-26,42
2017-01-02,58
2017-01-09,16
2017-01-16,43
2017-01-23,50
2017-01-30,58
2017-02-06,92
2017-02-13,66
2017-02-20,82
2017-03-06,76
2017-03-13,58
2017-03-20,50
2017-03-27,67
2017-04-03,74
2017-04-10,51
2017-04-17,84
2017-04-24,67
2017-05-01,50
2017-05-08,42
2017-05-15,74
2017-05-22,24
2017-05-29,50
2017-06-05,66
2017-06-12,67
2017-06-19,74
2017-06-26,50
2017-07-03,84
2017-07-10,77
2017-07-17,34
2017-07-24,87
2017-07-31,66
2017-08-07,51
2017-08-14,58
2017-08-21,69
2017-08-28,84
2017-09-04,66
2017-09-11,130
2017-09-18,97
2017-09-25,80
2017-10-02,105
2017-10-09,109
2017-10-16,92
2017-10-23,87
2017-10-30,100
2017-11-06,95
2017-11-13,85
2017-11-20,84
2017-11-27,67
2017-12-04,66
2017-12-11,50
2017-12-18,105
2017-12-25,76
2018-01-01,59
2018-01-08,60
2018-01-15,58
2018-01-22,49
2018-01-29,74
2018-02-05,66
2018-02-12,60
2018-02-19,85
2018-03-05,92
2018-03-12,102
2018-03-19,75
2018-03-26,66
2018-04-02,93
2018-04-09,74
2018-04-16,59
2018-04-23,83
2018-04-30,92
2018-05-07,68
2018-05-14,77
2018-05-21,60
2018-05-28,59
2018-06-04,75
2018-06-11,75
2018-06-18,50
2018-06-25,84
2018-07-02,75
2018-07-09,84
2018-07-16,42
2018-07-23,103
2018-07-30,113
2018-08-06,103
2018-08-13,86
2018-08-20,76
2018-08-27,76
2018-09-03,78
2018-09-10,68
2018-09-17,60
2018-09-24,67
2018-10-01,87
2018-10-08,84
2018-10-15,75
2018-10-22,83
2018-10-29,58
2018-11-05,49
2018-11-12,49
2018-11-19,57
2018-11-26,50
2018-12-03,41
2018-12-10,67
2018-12-17,41
2018-12-24,66
2018-12-31,49
2019-01-07,41
2019-01-14,66
2019-01-21,34
2019-01-28,58
2019-02-04,33
2019-02-11,42
2019-02-18,50
2019-03-04,50
2019-03-11,67
2019-03-18,59
2019-03-25,75
2019-04-01,67
2019-04-08,84
2019-04-15,66
2019-04-22,93
2019-04-29,87
2019-05-06,78
2019-05-13,59
2019-05-20,85
2019-05-27,98
2019-06-03,70
2019-06-10,87
2019-06-17,93
2019-06-24,76
2019-07-01,76
2019-07-08,44
2019-07-15,97
2019-07-22,88
2019-07-29,85
2019-08-05,76
2019-08-12,96
2019-08-19,256
2019-08-26,151
2019-09-02,109
2019-09-09,134
2019-09-16,111
2019-09-23,75
2019-09-30,59
2019-10-07,94
2019-10-14,93
2019-10-21,58
2019-10-28,68
2019-11-04,93
2019-11-11,36
2019-11-18,49
2019-11-25,25
2019-12-02,58
2019-12-09,67
2019-12-16,42
2019-12-23,41
2019-12-30,16
2020-01-06,49
2020-01-13,33
2020-01-20,41
2020-01-27,25
2020-02-03,50
2020-02-10,66
2020-02-17,75
2020-03-02,74
2020-03-09,65
2020-03-16,25
2020-03-23,49
2020-03-30,25
2020-04-06,33
2020-04-13,24
2020-04-20,42
2020-04-27,33
2020-05-04,8
2020-05-11,25
2020-05-18,50
2020-05-25,33
2020-06-01,25
2020-06-08,41
2020-06-15,8
2020-06-22,16
