date,index
2016-08-29,309
2016-09-05,318
2016-09-12,279
2016-09-19,299
2016-09-26,321
2016-10-03,313
2016-10-10,286
2016-10-17,269
2016-10-24,271
2016-10-31,265
2016-11-07,244
2016-11-14,255
2016-11-21,267
2016-11-28,286
2016-12-05,282
2016-12-12,295
2016-12-19,292
2016-12-26,296
2017-01-02,359
2017-01-09,368
2017-01-16,342
2017-01-23,316
2017-01-30,435
2017-02-06,357
2017-02-13,279
2017-02-20,294
2017-03-06,216
2017-03-13,190
2017-03-20,190
2017-03-27,169
2017-04-03,154
2017-04-10,162
2017-04-17,161
2017-04-24,167
2017-05-01,170
2017-05-08,173
2017-05-15,177
2017-05-22,198
2017-05-29,205
2017-06-05,209
2017-06-12,206
2017-06-19,222
2017-06-26,192
2017-07-03,185
2017-07-10,176
2017-07-17,180
2017-07-24,177
2017-07-31,176
2017-08-07,177
2017-08-14,183
2017-08-21,185
2017-08-28,186
2017-09-04,194
2017-09-11,183
2017-09-18,176
2017-09-25,179
2017-10-02,172
2017-10-09,189
2017-10-16,180
2017-10-23,170
2017-10-30,177
2017-11-06,324
2017-11-13,203
2017-11-20,188
2017-11-27,194
2017-12-04,195
2017-12-11,187
2017-12-18,209
2017-12-25,184
2018-01-01,203
2018-01-08,192
2018-01-15,261
2018-01-22,268
2018-01-29,230
2018-02-05,206
2018-02-12,253
2018-02-19,221
2018-03-05,304
2018-03-12,307
2018-03-19,278
2018-03-26,201
2018-04-02,194
2018-04-09,180
2018-04-16,214
2018-04-23,190
2018-04-30,193
2018-05-07,178
2018-05-14,188
2018-05-21,185
2018-05-28,185
2018-06-04,187
2018-06-11,175
2018-06-18,196
2018-06-25,186
2018-07-02,176
2018-07-09,186
2018-07-16,181
2018-07-23,223
2018-07-30,315
2018-08-06,244
2018-08-13,201
2018-08-20,180
2018-08-27,194
2018-09-03,198
2018-09-10,195
2018-09-17,179
2018-09-24,219
2018-10-01,197
2018-10-08,202
2018-10-15,206
2018-10-22,209
2018-10-29,170
2018-11-05,161
2018-11-12,172
2018-11-19,162
2018-11-26,207
2018-12-03,178
2018-12-10,181
2018-12-17,185
2018-12-24,171
2018-12-31,174
2019-01-07,172
2019-01-14,162
2019-01-21,155
2019-01-28,178
2019-02-04,169
2019-02-11,172
2019-02-18,166
2019-03-04,172
2019-03-11,173
2019-03-18,168
2019-03-25,176
2019-04-01,183
