date,index
2016-08-29,0
2016-09-05,0
2016-09-12,0
2016-09-19,0
2016-09-26,0
2016-10-03,0
2016-10-10,0
2016-10-17,0
2016-10-24,0
2016-10-31,0
2016-11-07,0
2016-11-14,0
2016-11-21,0
2016-11-28,0
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,0
2017-01-02,0
2017-01-09,0
2017-01-16,0
2017-01-23,0
2017-01-30,0
2017-02-06,0
2017-02-13,8
2017-02-20,16
2017-03-06,0
2017-03-13,43
2017-03-20,8
2017-03-27,0
2017-04-03,0
2017-04-10,0
2017-04-17,41
2017-04-24,0
2017-05-01,8
2017-05-08,16
2017-05-15,17
2017-05-22,0
2017-05-29,16
2017-06-05,52
2017-06-12,8
2017-06-19,16
2017-06-26,8
2017-07-03,0
2017-07-10,8
2017-07-17,16
2017-07-24,8
2017-07-31,17
2017-08-07,0
2017-08-14,0
2017-08-21,8
2017-08-28,17
2017-09-04,24
2017-09-11,44
2017-09-18,16
2017-09-25,26
2017-10-02,26
2017-10-09,58
2017-10-16,50
2017-10-23,70
2017-10-30,41
2017-11-06,50
2017-11-13,24
2017-11-20,42
2017-11-27,35
2017-12-04,84
2017-12-11,41
2017-12-18,34
2017-12-25,33
2018-01-01,33
2018-01-08,58
2018-01-15,33
2018-01-22,25
2018-01-29,8
2018-02-05,8
2018-02-12,24
2018-02-19,17
2018-03-05,50
2018-03-12,33
2018-03-19,58
2018-03-26,25
2018-04-02,50
2018-04-09,24
2018-04-16,43
2018-04-23,9
2018-04-30,34
2018-05-07,33
2018-05-14,16
2018-05-21,33
2018-05-28,41
2018-06-04,34
2018-06-11,33
2018-06-18,42
2018-06-25,67
2018-07-02,24
2018-07-09,33
2018-07-16,33
2018-07-23,25
2018-07-30,66
2018-08-06,41
2018-08-13,58
2018-08-20,42
2018-08-27,50
2018-09-03,59
2018-09-10,67
2018-09-17,67
2018-09-24,41
2018-10-01,42
2018-10-08,66
2018-10-15,49
2018-10-22,101
2018-10-29,75
2018-11-05,58
2018-11-12,49
2018-11-19,49
2018-11-26,33
2018-12-03,49
2018-12-10,33
2018-12-17,17
2018-12-24,33
2018-12-31,41
2019-01-07,58
2019-01-14,33
2019-01-21,0
2019-01-28,42
2019-02-04,57
2019-02-11,50
2019-02-18,50
2019-03-04,42
2019-03-11,24
2019-03-18,66
2019-03-25,34
2019-04-01,42
2019-04-08,66
2019-04-15,49
2019-04-22,25
2019-04-29,25
2019-05-06,24
2019-05-13,66
2019-05-20,67
2019-05-27,99
2019-06-03,140
2019-06-10,110
2019-06-17,103
2019-06-24,105
2019-07-01,75
2019-07-08,85
2019-07-15,52
2019-07-22,41
2019-07-29,57
2019-08-05,67
2019-08-12,51
2019-08-19,107
2019-08-26,75
2019-09-02,51
2019-09-09,43
2019-09-16,66
2019-09-23,17
2019-09-30,41
2019-10-07,57
2019-10-14,93
2019-10-21,59
2019-10-28,51
2019-11-04,67
2019-11-11,71
2019-11-18,41
2019-11-25,84
2019-12-02,50
2019-12-09,58
2019-12-16,17
2019-12-23,67
2019-12-30,33
2020-01-06,8
2020-01-13,25
2020-01-20,24
2020-01-27,50
2020-02-03,43
2020-02-10,67
2020-02-17,58
2020-03-02,58
2020-03-09,83
2020-03-16,42
2020-03-23,42
2020-03-30,75
2020-04-06,49
2020-04-13,66
2020-04-20,41
2020-04-27,67
2020-05-04,74
2020-05-11,50
2020-05-18,66
2020-05-25,59
2020-06-01,66
2020-06-08,57
2020-06-15,49
2020-06-22,41
2020-06-29,59
2020-07-06,84
2020-07-13,58
2020-07-20,66
2020-07-27,42
